t_ms,M1_pos_ref,M1_pos_est,M1_speed_fb,M1_iq,M1_speed_ref,M2_pos_ref,M2_pos_est,M2_speed_fb,M2_iq,M2_speed_ref
4140.0,0.261799,0.262291,-0.027102,-0.021881,-0.029476,0.000000,3.197195,-0.023054,0.000145,0.000000
4145.0,0.261799,0.262299,-0.029164,-0.021881,-0.029982,0.000000,3.197197,-0.000347,-0.000145,0.000000
4150.0,0.261799,0.262302,-0.028069,-0.021881,-0.030139,0.000000,3.197195,-0.033689,-0.000869,0.000000
4155.0,0.261799,0.262190,-0.211363,-0.012586,-0.023428,0.000000,3.197192,-0.026015,0.000000,0.000000
4160.0,0.261799,0.261604,-0.092023,-0.008363,0.011718,0.000000,3.197199,0.020112,0.000723,0.000000
4165.0,0.261799,0.261292,-0.132285,-0.005575,0.030447,0.000000,3.197208,0.041422,0.000145,0.000000
4170.0,0.261799,0.261181,0.039565,-0.011150,0.037129,0.000000,3.197210,0.033140,0.000000,0.000000
4175.0,0.261799,0.261176,0.045710,-0.011150,0.037413,0.000000,3.197204,-0.013154,0.000000,0.000000
4180.0,0.261799,0.261682,0.305106,-0.030749,0.007018,0.000000,3.197197,-0.004867,0.000869,0.000000
4185.0,0.261799,0.262196,0.142592,-0.029317,-0.023784,0.000000,3.197197,-0.009002,0.000145,0.000000
4190.0,0.261799,0.262292,-0.033077,-0.021881,-0.029588,0.000000,3.197198,-0.006547,-0.000578,0.000000
4195.0,0.261799,0.262300,-0.020113,-0.022308,-0.030055,0.000000,3.197196,-0.015636,0.000000,0.000000
4200.0,0.261799,0.262302,-0.036976,-0.022383,-0.030177,0.000000,3.197196,-0.005502,0.000869,0.000000
4205.0,0.261799,0.262100,-0.206887,-0.014020,-0.018030,0.000000,3.197200,0.015041,0.000869,0.000000
4210.0,0.261799,0.261599,-0.087751,-0.010728,0.012036,0.000000,3.197200,-0.000830,0.000000,0.000000
4215.0,0.261799,0.261250,-0.073327,-0.007013,0.032979,0.000000,3.197200,-0.003964,0.000723,0.000000
4220.0,0.261799,0.261179,0.049754,-0.010729,0.037245,0.000000,3.197201,0.006384,0.000000,0.000000
4225.0,0.261799,0.261174,0.047180,-0.011150,0.037495,0.000000,3.197204,0.021186,0.000145,0.000000
4230.0,0.261799,0.261887,0.434502,-0.027960,-0.005262,0.000000,3.197202,0.000434,0.000145,0.000000
4235.0,0.261799,0.262235,0.060598,-0.026101,-0.026150,0.000000,3.197198,-0.024560,0.000000,0.000000
4240.0,0.261799,0.262296,-0.024125,-0.021881,-0.029781,0.000000,3.197197,-0.008373,0.000000,0.000000
4245.0,0.261799,0.262300,-0.039585,-0.021454,-0.030025,0.000000,3.197199,0.005099,0.000000,0.000000
4250.0,0.261799,0.262302,-0.029687,-0.021881,-0.030164,0.000000,3.197201,0.002034,-0.000723,0.000000
4255.0,0.261799,0.262036,-0.204162,-0.012164,-0.014189,0.000000,3.197200,-0.001701,0.000145,0.000000
4260.0,0.261799,0.261271,-0.132088,-0.002367,0.031693,0.000000,3.197198,-0.006852,0.000869,0.000000
4265.0,0.261799,0.261187,0.037394,-0.011658,0.036714,0.000000,3.197196,-0.018205,0.000000,0.000000
4270.0,0.261799,0.261176,0.045922,-0.012167,0.037426,0.000000,3.197198,-0.001851,-0.000145,0.000000
4275.0,0.261799,0.261287,0.238557,-0.020526,0.030724,0.000000,3.197201,0.027020,0.000000,0.000000
4280.0,0.261799,0.262191,0.150368,-0.031678,-0.023505,0.000000,3.197205,0.026011,0.001159,0.000000
4285.0,0.261799,0.262282,-0.013330,-0.022810,-0.028968,0.000000,3.197203,-0.002119,-0.000145,0.000000
4290.0,0.261799,0.262299,-0.033481,-0.022308,-0.029980,0.000000,3.197194,-0.040401,0.000000,0.000000
4295.0,0.261799,0.262301,-0.031496,-0.021454,-0.030119,0.000000,3.197192,-0.024030,0.000145,0.000000
4300.0,0.261799,0.262099,-0.216334,-0.012586,-0.018008,0.000000,3.197197,0.000737,0.000000,0.000000
4305.0,0.261799,0.261376,-0.310366,0.000509,0.025390,0.000000,3.197200,0.010755,-0.000145,0.000000
4310.0,0.261799,0.261186,0.044497,-0.010220,0.036818,0.000000,3.197205,0.036865,0.000000,0.000000
4315.0,0.261799,0.261177,0.049954,-0.011150,0.037358,0.000000,3.197206,0.009174,0.000000,0.000000
4320.0,0.261799,0.261174,0.045831,-0.011658,0.037492,0.000000,3.197200,-0.005121,0.000000,0.000000
4325.0,0.261799,0.261682,0.318555,-0.028387,0.007045,0.000000,3.197198,-0.008790,-0.000869,0.000000
4330.0,0.261799,0.262260,0.028684,-0.025172,-0.027614,0.000000,3.197194,-0.007950,0.000869,0.000000
4335.0,0.261799,0.262292,-0.039662,-0.021454,-0.029540,0.000000,3.197195,-0.011243,0.000145,0.000000
4340.0,0.261799,0.262300,-0.025842,-0.021454,-0.030017,0.000000,3.197202,0.028154,0.000723,0.000000
4345.0,0.261799,0.262301,-0.037903,-0.021378,-0.030075,0.000000,3.197203,0.014907,-0.000145,0.000000
4350.0,0.261799,0.261789,-0.331889,-0.002872,0.000597,0.000000,3.197202,0.004194,0.000000,0.000000
4355.0,0.261799,0.261380,-0.224272,-0.002787,0.025186,0.000000,3.197198,-0.013832,0.000000,0.000000
4360.0,0.261799,0.261186,0.036969,-0.010220,0.036811,0.000000,3.197200,0.004338,0.000000,0.000000
4365.0,0.261799,0.261177,0.046420,-0.011658,0.037313,0.000000,3.197201,0.002959,0.000000,0.000000
4370.0,0.261799,0.261438,0.186536,-0.020950,0.021660,0.000000,3.197199,-0.012137,-0.000869,0.000000
4375.0,0.261799,0.262042,0.310460,-0.033537,-0.014543,0.000000,3.197198,-0.007266,0.001737,0.000000
4380.0,0.261799,0.262283,-0.029206,-0.023313,-0.029022,0.000000,3.197203,0.009700,0.000000,0.000000
4385.0,0.261799,0.262297,-0.030507,-0.021454,-0.029846,0.000000,3.197198,-0.021641,0.000000,0.000000
4390.0,0.261799,0.262302,-0.020070,-0.021454,-0.030182,0.000000,3.197194,-0.024345,0.000000,0.000000
4395.0,0.261799,0.262303,-0.030237,-0.021455,-0.030227,0.000000,3.197196,-0.002897,0.000000,0.000000
4400.0,0.261799,0.261683,-0.213906,-0.006505,0.006965,0.000000,3.197203,0.022294,0.000000,0.000000
4405.0,0.261799,0.261302,-0.155693,-0.004646,0.029823,0.000000,3.197207,0.040635,0.000000,0.000000
4410.0,0.261799,0.261181,0.045631,-0.010729,0.037075,0.000000,3.197206,0.008114,0.000000,0.000000
4415.0,0.261799,0.261176,0.059922,-0.011658,0.037413,0.000000,3.197200,-0.009034,0.000000,0.000000
4420.0,0.261799,0.261480,0.139007,-0.020528,0.019140,0.000000,3.197195,-0.026935,0.000000,0.000000
4425.0,0.261799,0.261845,0.124842,-0.023235,-0.002757,0.000000,3.197198,0.005849,0.000000,0.000000
4430.0,0.261799,0.262268,0.016335,-0.023815,-0.028117,0.000000,3.197196,-0.005057,0.000723,0.000000
4435.0,0.261799,0.262294,-0.029177,-0.021881,-0.029696,0.000000,3.197199,0.014857,-0.000145,0.000000
4440.0,0.261799,0.262302,-0.025767,-0.021881,-0.030155,0.000000,3.197198,-0.007548,0.000000,0.000000
4445.0,0.261799,0.262188,-0.228660,-0.012082,-0.023346,0.000000,3.197197,0.001862,0.000000,0.000000
4450.0,0.261799,0.261427,-0.310992,0.002787,0.022321,0.000000,3.197201,0.010766,0.000000,0.000000
4455.0,0.261799,0.261210,-0.006675,-0.009800,0.035341,0.000000,3.197201,0.006638,0.000000,0.000000
4460.0,0.261799,0.261176,0.044607,-0.011150,0.037394,0.000000,3.197198,-0.007215,0.000000,0.000000
4465.0,0.261799,0.261174,0.037786,-0.010729,0.037512,0.000000,3.197198,-0.005118,0.000000,0.000000
4470.0,0.261799,0.261596,0.329538,-0.020951,0.012206,0.000000,3.197200,0.005645,0.000000,0.000000
4475.0,0.261799,0.262137,0.220236,-0.030749,-0.020276,0.000000,3.197200,-0.001008,0.000000,0.000000
4480.0,0.261799,0.262290,-0.031001,-0.021881,-0.029427,0.000000,3.197199,-0.010800,0.000000,0.000000
4485.0,0.261799,0.262298,-0.047210,-0.020951,-0.029899,0.000000,3.197198,-0.003549,-0.001014,0.000000
4490.0,0.261799,0.262301,-0.028378,-0.021454,-0.030080,0.000000,3.197199,0.008511,0.000000,0.000000
4495.0,0.261799,0.262303,-0.032574,-0.021880,-0.030193,0.000000,3.197201,0.005248,0.000000,0.000000
4500.0,0.261799,0.261682,-0.217726,-0.005998,0.007043,0.000000,3.197201,0.006344,0.000000,0.000000
4505.0,0.261799,0.261365,-0.191476,-0.004225,0.026084,0.000000,3.197203,0.017329,0.000145,0.000000
4510.0,0.261799,0.261184,0.027491,-0.010309,0.036896,0.000000,3.197201,-0.001576,0.000000,0.000000
4515.0,0.261799,0.261176,0.047261,-0.011150,0.037419,0.000000,3.197201,0.001557,0.000000,0.000000
4520.0,0.261799,0.261553,0.380992,-0.020951,0.014752,0.000000,3.197199,-0.006681,0.000000,0.000000
4525.0,0.261799,0.262132,0.233914,-0.031176,-0.019975,0.000000,3.197198,-0.018135,-0.001014,0.000000
4530.0,0.261799,0.262288,-0.029297,-0.021881,-0.029340,0.000000,3.197193,-0.028528,0.000000,0.000000
4535.0,0.261799,0.262299,-0.039401,-0.021881,-0.029957,0.000000,3.197197,0.003888,0.000000,0.000000
4540.0,0.261799,0.262302,-0.028313,-0.021881,-0.030146,0.000000,3.197203,0.009075,-0.001014,0.000000
4545.0,0.261799,0.262036,-0.194050,-0.012666,-0.014189,0.000000,3.197206,0.028548,0.000000,0.000000
4550.0,0.261799,0.261392,-0.247185,0.000420,0.024460,0.000000,3.197203,0.006367,-0.000145,0.000000
4555.0,0.261799,0.261205,-0.017823,-0.008362,0.035645,0.000000,3.197200,-0.008522,-0.000145,0.000000
4560.0,0.261799,0.261177,0.057352,-0.010220,0.037344,0.000000,3.197202,0.010845,0.000000,0.000000
4565.0,0.261799,0.261175,0.048627,-0.010728,0.037467,0.000000,3.197200,-0.015309,-0.000869,0.000000
4570.0,0.261799,0.261726,0.241349,-0.026527,0.004424,0.000000,3.197191,-0.031665,0.000000,0.000000
4575.0,0.261799,0.262158,0.177348,-0.028890,-0.021538,0.000000,3.197193,-0.013801,0.000000,0.000000
4580.0,0.261799,0.262291,-0.029354,-0.021956,-0.029495,0.000000,3.197199,0.008697,0.000000,0.000000
4585.0,0.261799,0.262299,-0.035083,-0.021881,-0.029960,0.000000,3.197202,0.011785,-0.000869,0.000000
4590.0,0.261799,0.262301,-0.024960,-0.021454,-0.030093,0.000000,3.197201,-0.009458,-0.001737,0.000000
4595.0,0.261799,0.262036,-0.192398,-0.013010,-0.014228,0.000000,3.197200,0.003597,0.000000,0.000000
