t_ms,M1_pos_ref,M1_pos_est,M1_speed_fb,M1_iq,M1_speed_ref,M2_pos_ref,M2_pos_est,M2_speed_fb,M2_iq,M2_speed_ref
1125.0,5.263864,0.029452,-0.000000,0.000000,inf,1.745329,1.744305,0.383980,0.009441,0.215167
1130.0,0.000000,5.263862,0.022908,-0.000000,0.000000,inf,1.745329,1.744509,0.319065,0.016462
1135.0,0.172259,0.000000,5.263855,-0.003715,-0.000597,0.000000,inf,1.745329,1.745545,0.731071
1140.0,-0.027175,-0.045311,0.000000,5.263851,-0.016881,-0.000917,0.000000,inf,1.745329,1.746598
1145.0,0.072533,-0.030508,-0.266436,0.000000,5.263849,-0.022726,-0.000000,0.000000,inf,1.745329
1150.0,1.746632,-0.415407,-0.007025,-0.273546,0.000000,5.263854,-0.005231,-0.000000,0.000000,inf
1155.0,1.745329,1.745478,-0.807195,0.018878,-0.031292,0.000000,5.263854,-0.005598,-0.000000,0.000000
1160.0,inf,1.745329,1.744514,-0.609611,0.041446,0.171207,0.000000,5.263852,-0.011012,-0.000000
1165.0,0.000000,inf,1.745329,1.743970,0.233770,0.024063,0.285387,0.000000,5.263853,-0.006846
1170.0,0.000917,0.000000,inf,1.745329,1.744009,0.391603,0.015542,0.277326,0.000000,5.263854
1175.0,-0.004248,0.000597,0.000000,inf,1.745329,1.745698,0.894950,-0.031075,-0.077355,0.000000
1180.0,5.263856,0.003754,-0.000000,0.000000,inf,1.745329,1.746451,0.312169,-0.028303,-0.235519
1185.0,0.000000,5.263857,0.008437,-0.000000,0.000000,inf,1.745329,1.746642,-0.383215,-0.007588
1190.0,-0.275574,0.000000,5.263858,0.010945,-0.001194,0.000000,inf,1.745329,1.745873,-0.685285
1195.0,0.019226,-0.114105,0.000000,5.263861,0.018483,-0.000917,0.000000,inf,1.745329,1.744475
1200.0,-0.487159,0.041445,0.179468,0.000000,5.263856,0.005338,0.000917,0.000000,inf,1.745329
1205.0,1.744320,0.203538,0.016119,0.211912,0.000000,5.263858,0.013530,-0.000000,0.000000,inf
1210.0,1.745329,1.744229,0.244892,0.015885,0.231113,0.000000,5.263858,0.007646,-0.000000,0.000000
1215.0,inf,1.745329,1.744731,0.460688,-0.002197,0.125721,0.000000,5.263852,-0.016094,-0.000000
1220.0,0.000000,inf,1.745329,1.746200,0.594415,-0.035688,-0.182848,0.000000,5.263848,-0.024836
1225.0,-0.000000,0.000000,inf,1.745329,1.746272,-0.214635,-0.006102,-0.197968,0.000000,5.263854
